step,loss,tri_loss,lr,elapsed_s
1,8.399497,0.000000,0.00000060,1.1
2,8.391501,0.000000,0.00000120,1.4
3,8.390766,0.000000,0.00000180,1.6
4,8.358709,0.000000,0.00000240,1.8
5,8.331152,0.000000,0.00000300,2.1
6,8.300711,0.000000,0.00000360,2.3
7,8.261724,0.000000,0.00000420,2.6
8,8.224390,0.000000,0.00000480,2.8
9,8.178660,0.000000,0.00000540,3.1
10,8.133598,0.000000,0.00000600,3.3
11,8.087900,0.000000,0.00000660,3.6
12,8.036716,0.000000,0.00000720,3.8
13,8.002966,0.000000,0.00000780,4.1
14,7.936357,0.000000,0.00000840,4.3
15,7.901077,0.000000,0.00000900,4.6
16,7.844553,0.000000,0.00000960,4.8
17,7.814145,0.000000,0.00001020,5.0
18,7.760164,0.000000,0.00001080,5.3
19,7.738702,0.000000,0.00001140,5.5
20,7.686938,0.000000,0.00001200,5.8
21,7.662530,0.000000,0.00001260,6.0
22,7.609961,0.000000,0.00001320,6.3
23,7.584100,0.000000,0.00001380,6.5
24,7.561668,0.000000,0.00001440,6.8
25,7.527323,0.000000,0.00001500,7.0
26,7.500803,0.000000,0.00001560,7.3
27,7.476577,0.000000,0.00001620,7.5
28,7.437589,0.000000,0.00001680,7.7
29,7.407151,0.000000,0.00001740,8.0
30,7.388445,0.000000,0.00001800,8.2
31,7.373845,0.000000,0.00001860,8.5
32,7.357019,0.000000,0.00001920,8.7
33,7.346280,0.000000,0.00001980,9.0
34,7.327688,0.000000,0.00002040,9.2
35,7.319502,0.000000,0.00002100,9.5
36,7.308119,0.000000,0.00002160,9.7
37,7.275247,0.000000,0.00002220,10.0
38,7.245564,0.000000,0.00002280,10.2
39,7.269252,0.000000,0.00002340,10.5
40,7.251097,0.000000,0.00002400,10.7
41,7.250794,0.000000,0.00002460,10.9
42,7.227739,0.000000,0.00002520,11.2
43,7.186089,0.000000,0.00002580,11.4
44,7.199404,0.000000,0.00002640,11.7
45,7.170461,0.000000,0.00002700,11.9
46,7.170152,0.000000,0.00002760,12.2
47,7.137555,0.000000,0.00002820,12.4
48,7.123130,0.000000,0.00002880,12.7
49,7.093208,0.000000,0.00002940,12.9
50,7.094339,0.000000,0.00003000,13.2
51,7.080242,0.000000,0.00003060,13.4
52,7.038816,0.000000,0.00003120,13.7
53,7.050019,0.000000,0.00003180,13.9
54,7.004826,0.000000,0.00003240,14.1
55,7.009839,0.000000,0.00003300,14.4
56,6.999222,0.000000,0.00003360,14.6
57,6.960383,0.000000,0.00003420,14.9
58,6.907451,0.000000,0.00003480,15.1
59,6.903101,0.000000,0.00003540,15.4
60,6.878332,0.000000,0.00003600,15.6
61,6.842019,0.000000,0.00003660,15.9
62,6.799178,0.000000,0.00003720,16.1
63,6.836268,0.000000,0.00003780,16.4
64,6.783637,0.000000,0.00003840,16.6
65,6.757522,0.000000,0.00003900,16.9
66,6.744008,0.000000,0.00003960,17.1
67,6.723388,0.000000,0.00004020,17.3
68,6.703393,0.000000,0.00004080,17.6
69,6.631968,0.000000,0.00004140,17.8
70,6.657728,0.000000,0.00004200,18.1
71,6.641685,0.000000,0.00004260,18.3
72,6.565799,0.000000,0.00004320,18.6
73,6.616413,0.000000,0.00004380,18.8
74,6.566579,0.000000,0.00004440,19.1
75,6.530855,0.000000,0.00004500,19.3
76,6.530968,0.000000,0.00004560,19.6
77,6.488776,0.000000,0.00004620,19.8
78,6.464464,0.000000,0.00004680,20.1
79,6.438891,0.000000,0.00004740,20.3
80,6.414804,0.000000,0.00004800,20.5
81,6.407183,0.000000,0.00004860,20.8
82,6.338825,0.000000,0.00004920,21.0
83,6.338179,0.000000,0.00004980,21.3
84,6.333574,0.000000,0.00005040,21.5
85,6.276420,0.000000,0.00005100,21.8
86,6.211789,0.000000,0.00005160,22.0
87,6.267639,0.000000,0.00005220,22.3
88,6.195530,0.000000,0.00005280,22.5
89,6.138099,0.000000,0.00005340,22.8
90,6.126582,0.000000,0.00005400,23.0
91,6.093880,0.000000,0.00005460,23.3
92,6.102960,0.000000,0.00005520,23.5
93,6.082066,0.000000,0.00005580,23.7
94,5.992660,0.000000,0.00005640,24.0
95,6.009024,0.000000,0.00005700,24.2
96,5.956322,0.000000,0.00005760,24.5
97,5.959116,0.000000,0.00005820,24.7
98,5.866213,0.000000,0.00005880,25.0
99,5.882885,0.000000,0.00005940,25.2
100,5.886250,0.000000,0.00006000,25.5
101,5.848993,0.000000,0.00006060,25.7
102,5.877972,0.000000,0.00006120,26.0
103,5.828834,0.000000,0.00006180,26.2
104,5.793169,0.000000,0.00006240,26.5
105,5.780268,0.000000,0.00006300,26.7
106,5.784079,0.000000,0.00006360,26.9
107,5.678039,0.000000,0.00006420,27.2
108,5.751664,0.000000,0.00006480,27.4
109,5.680493,0.000000,0.00006540,27.7
110,5.654451,0.000000,0.00006600,27.9
111,5.669530,0.000000,0.00006660,28.2
112,5.614502,0.000000,0.00006720,28.4
113,5.645321,0.000000,0.00006780,28.7
114,5.595045,0.000000,0.00006840,28.9
115,5.553428,0.000000,0.00006900,29.2
116,5.564898,0.000000,0.00006960,29.4
117,5.522747,0.000000,0.00007020,29.7
118,5.549162,0.000000,0.00007080,29.9
119,5.463049,0.000000,0.00007140,30.1
120,5.489924,0.000000,0.00007200,30.4
121,5.444418,0.000000,0.00007260,30.6
122,5.444482,0.000000,0.00007320,30.9
123,5.396341,0.000000,0.00007380,31.1
124,5.398701,0.000000,0.00007440,31.4
125,5.358929,0.000000,0.00007500,31.6
126,5.458618,0.000000,0.00007560,31.9
127,5.332932,0.000000,0.00007620,32.1
128,5.306613,0.000000,0.00007680,32.4
129,5.274744,0.000000,0.00007740,32.6
130,5.295369,0.000000,0.00007800,32.9
131,5.328098,0.000000,0.00007860,33.1
132,5.253342,0.000000,0.00007920,33.3
133,5.262311,0.000000,0.00007980,33.6
134,5.245913,0.000000,0.00008040,33.8
135,5.269153,0.000000,0.00008100,34.1
136,5.281851,0.000000,0.00008160,34.3
137,5.164125,0.000000,0.00008220,34.6
138,5.210158,0.000000,0.00008280,34.8
139,5.148691,0.000000,0.00008340,35.1
140,5.113384,0.000000,0.00008400,35.3
141,5.146160,0.000000,0.00008460,35.6
142,5.091084,0.000000,0.00008520,35.8
143,5.122718,0.000000,0.00008580,36.1
144,5.181153,0.000000,0.00008640,36.3
145,5.069744,0.000000,0.00008700,36.5
146,5.109997,0.000000,0.00008760,36.8
147,5.112357,0.000000,0.00008820,37.0
148,5.027328,0.000000,0.00008880,37.3
149,4.996426,0.000000,0.00008940,37.5
150,5.048100,0.000000,0.00009000,37.8
151,5.024221,0.000000,0.00009060,38.0
152,5.011636,0.000000,0.00009120,38.3
153,4.998352,0.000000,0.00009180,38.5
154,5.088269,0.000000,0.00009240,38.8
155,4.942155,0.000000,0.00009300,39.0
156,4.955441,0.000000,0.00009360,39.3
157,4.950469,0.000000,0.00009420,39.5
158,4.979189,0.000000,0.00009480,39.7
159,4.915699,0.000000,0.00009540,40.0
160,4.980258,0.000000,0.00009600,40.2
161,4.909837,0.000000,0.00009660,40.5
162,4.857208,0.000000,0.00009720,40.7
163,4.909049,0.000000,0.00009780,41.0
164,4.878681,0.000000,0.00009840,41.2
165,4.872890,0.000000,0.00009900,41.5
166,4.810366,0.000000,0.00009960,41.7
167,4.867833,0.000000,0.00010020,42.0
168,4.832891,0.000000,0.00010080,42.2
169,4.769314,0.000000,0.00010140,42.5
170,4.780828,0.000000,0.00010200,42.7
171,4.776431,0.000000,0.00010260,42.9
172,4.847661,0.000000,0.00010320,43.2
173,4.780184,0.000000,0.00010380,43.4
174,4.795259,0.000000,0.00010440,43.7
