step,lang_loss,tri_loss,lr,entropy,dead_bits,elapsed_s
5851,1.5892,0.0000,0.000291,0.9790,0,1003
5901,1.6312,0.0000,0.000291,0.9753,0,1012
5951,1.6495,0.0000,0.000291,0.9783,0,1020
6001,1.6444,0.0000,0.000291,0.9806,0,1029
6051,1.5998,0.0000,0.000291,0.9823,0,1038
6101,1.6378,0.0000,0.000291,0.9798,0,1046
6151,1.5825,0.0000,0.000290,0.9791,0,1055
6201,1.6388,0.0000,0.000290,0.9776,0,1063
6251,1.5627,0.0000,0.000290,0.9817,0,1072
6301,1.6786,0.0000,0.000290,0.9802,0,1080
6351,1.6493,0.0000,0.000290,0.9795,0,1089
6401,1.5771,0.0000,0.000290,0.9805,0,1097
6451,1.5889,0.0000,0.000289,0.9789,0,1106
6501,1.5731,0.0000,0.000289,0.9814,0,1115
6551,1.6499,0.0000,0.000289,0.9797,0,1123
6601,1.5786,0.0000,0.000289,0.9787,0,1132
6651,1.6288,0.0000,0.000289,0.9783,0,1140
6701,1.5688,0.0000,0.000289,0.9779,0,1149
6751,1.5546,0.0000,0.000288,0.9800,0,1157
6801,1.6338,0.0000,0.000288,0.9817,0,1166
6851,1.5754,0.0000,0.000288,0.9790,0,1175
6901,1.5993,0.0000,0.000288,0.9790,0,1183
6951,1.5799,0.0000,0.000288,0.9801,0,1192
7001,1.5908,0.0000,0.000287,0.9796,0,1200
7051,1.5644,0.0000,0.000287,0.9799,0,1209
7101,1.5759,0.0000,0.000287,0.9771,0,1217
7151,1.5721,0.0000,0.000287,0.9767,0,1226
7201,1.5571,0.0000,0.000287,0.9787,0,1235
7251,1.5104,0.0000,0.000286,0.9802,0,1243
7301,1.5574,0.0000,0.000286,0.9807,0,1252
7351,1.5004,0.0000,0.000286,0.9773,0,1260
7401,1.5575,0.0000,0.000286,0.9788,0,1269
7451,1.5499,0.0000,0.000286,0.9807,0,1277
7501,1.5683,0.0000,0.000285,0.9780,0,1286
7551,1.5631,0.0000,0.000285,0.9798,0,1295
7601,1.5546,0.0000,0.000285,0.9796,0,1303
7651,1.5257,0.0000,0.000285,0.9803,0,1312
7701,1.5746,0.0000,0.000285,0.9784,0,1320
7751,1.5841,0.0000,0.000284,0.9797,0,1329
7801,1.5087,0.0000,0.000284,0.9790,0,1337
7851,1.5363,0.0000,0.000284,0.9802,0,1346
7901,1.5646,0.0000,0.000284,0.9788,0,1354
7951,1.5567,0.0000,0.000284,0.9785,0,1363
8001,1.5170,0.0000,0.000283,0.9796,0,1372
8051,1.4749,0.0000,0.000283,0.9780,0,1380
8101,1.5467,0.0000,0.000283,0.9801,0,1389
8151,1.4787,0.0000,0.000283,0.9789,0,1397
8201,1.4584,0.0000,0.000282,0.9815,0,1406
8251,1.4680,0.0000,0.000282,0.9831,0,1414
8301,1.5069,0.0000,0.000282,0.9788,0,1423
8351,1.5381,0.0000,0.000282,0.9799,0,1432
8401,1.4951,0.0000,0.000282,0.9792,0,1440
8451,1.5039,0.0000,0.000281,0.9805,0,1449
8501,1.5233,0.0000,0.000281,0.9811,0,1457
8551,1.4846,0.0000,0.000281,0.9794,0,1466
8601,1.4759,0.0000,0.000281,0.9783,0,1474
8651,1.4666,0.0000,0.000280,0.9801,0,1483
8701,1.4749,0.0000,0.000280,0.9802,0,1492
8751,1.5079,0.0000,0.000280,0.9800,0,1500
8801,1.4436,0.0000,0.000280,0.9795,0,1509
8851,1.4597,0.0000,0.000279,0.9812,0,1517
8901,1.4914,0.0000,0.000279,0.9800,0,1526
8951,1.4606,0.0000,0.000279,0.9806,0,1534
9001,1.4200,0.0000,0.000279,0.9791,0,1543
9051,1.4669,0.0000,0.000278,0.9799,0,1552
9101,1.4640,0.0000,0.000278,0.9821,0,1560
9151,1.5239,0.0000,0.000278,0.9807,0,1569
9201,1.4457,0.0000,0.000278,0.9804,0,1577
9251,1.5194,0.0000,0.000277,0.9806,0,1586
9301,1.4279,0.0000,0.000277,0.9797,0,1594
9351,1.4624,0.0000,0.000277,0.9816,0,1603
9401,1.4602,0.0000,0.000277,0.9818,0,1611
9451,1.4862,0.0000,0.000276,0.9799,0,1620
9501,1.4353,0.0000,0.000276,0.9829,0,1629
9551,1.3896,0.0000,0.000276,0.9811,0,1637
9601,1.4198,0.0000,0.000276,0.9826,0,1646
9651,1.5082,0.0000,0.000275,0.9808,0,1654
9701,1.4172,0.0000,0.000275,0.9819,0,1663
9751,1.5251,0.0000,0.000275,0.9761,0,1671
9801,1.4750,0.0000,0.000275,0.9826,0,1680
9851,1.4165,0.0000,0.000274,0.9793,0,1689
9901,1.4532,0.0000,0.000274,0.9816,0,1697
9951,1.4111,0.0000,0.000274,0.9817,0,1706
10001,1.4627,0.0000,0.000274,0.9805,0,1714
10051,1.4711,0.0000,0.000273,0.9817,0,1723
10101,1.4651,0.0000,0.000273,0.9808,0,1731
10151,1.3544,0.0000,0.000273,0.9822,0,1740
10201,1.3816,0.0000,0.000272,0.9815,0,1749
10251,1.4725,0.0000,0.000272,0.9781,0,1757
10301,1.4047,0.0000,0.000272,0.9828,0,1766
10351,1.4150,0.0000,0.000272,0.9822,0,1774
10401,1.3671,0.0000,0.000271,0.9800,0,1783
10451,1.4011,0.0000,0.000271,0.9807,0,1791
10501,1.4651,0.0000,0.000271,0.9815,0,1800
10551,1.3161,0.0000,0.000271,0.9771,0,1809
10601,1.4021,0.0000,0.000270,0.9801,0,1817
10651,1.4605,0.0000,0.000270,0.9816,0,1826
10701,1.3928,0.0000,0.000270,0.9821,0,1834
10751,1.4066,0.0000,0.000269,0.9804,0,1843
10801,1.4011,0.0000,0.000269,0.9790,0,1851
10851,1.4232,0.0000,0.000269,0.9796,0,1860
10901,1.4590,0.0000,0.000268,0.9821,0,1869
10951,1.3725,0.0000,0.000268,0.9810,0,1877
11001,1.4561,0.0000,0.000268,0.9793,0,1886
11051,1.3702,0.0000,0.000268,0.9808,0,1894
11101,1.3885,0.0000,0.000267,0.9810,0,1903
11151,1.3470,0.0000,0.000267,0.9812,0,1911
11201,1.4242,0.0000,0.000267,0.9829,0,1920
11251,1.3491,0.0000,0.000266,0.9804,0,1928
11301,1.4158,0.0000,0.000266,0.9801,0,1937
11351,1.4114,0.0000,0.000266,0.9811,0,1946
11401,1.3929,0.0000,0.000266,0.9816,0,1954
11451,1.3245,0.0000,0.000265,0.9828,0,1963
11501,1.3566,0.0000,0.000265,0.9808,0,1971
11551,1.4190,0.0000,0.000265,0.9808,0,1980
11601,1.3941,0.0000,0.000264,0.9787,0,1988
11651,1.3335,0.0000,0.000264,0.9800,0,1997
11701,1.3970,0.0000,0.000264,0.9797,0,2006
11751,1.4076,0.0000,0.000263,0.9782,0,2014
11801,1.3471,0.0000,0.000263,0.9806,0,2023
11851,1.3989,0.0000,0.000263,0.9833,0,2031
11901,1.3480,0.0000,0.000262,0.9805,0,2040
11951,1.4158,0.0000,0.000262,0.9794,0,2048
12001,1.3615,0.0000,0.000262,0.9784,0,2057
12051,1.3765,0.0000,0.000261,0.9800,0,2066
12101,1.3255,0.0000,0.000261,0.9815,0,2074
12151,1.3489,0.0000,0.000261,0.9815,0,2083
12201,1.3923,0.0000,0.000261,0.9814,0,2091
12251,1.3545,0.0000,0.000260,0.9802,0,2100
12301,1.3083,0.0000,0.000260,0.9817,0,2108
12351,1.3462,0.0000,0.000260,0.9818,0,2117
12401,1.4126,0.0000,0.000259,0.9812,0,2126
12451,1.2904,0.0000,0.000259,0.9802,0,2134
12501,1.3613,0.0000,0.000259,0.9802,0,2143
12551,1.2992,0.0000,0.000258,0.9830,0,2151
12601,1.3585,0.0000,0.000258,0.9813,0,2160
12651,1.3350,0.0000,0.000258,0.9827,0,2168
12701,1.3119,0.0000,0.000257,0.9805,0,2177
12751,1.3611,0.0000,0.000257,0.9813,0,2186
12801,1.3753,0.0000,0.000257,0.9822,0,2194
12851,1.3494,0.0000,0.000256,0.9806,0,2203
12901,1.3025,0.0000,0.000256,0.9829,0,2211
12951,1.3004,0.0000,0.000256,0.9826,0,2220
13001,1.3284,0.0000,0.000255,0.9816,0,2228
13051,1.2979,0.0000,0.000255,0.9820,0,2237
13101,1.3645,0.0000,0.000255,0.9804,0,2245
13151,1.3109,0.0000,0.000254,0.9817,0,2254
13201,1.3181,0.0000,0.000254,0.9817,0,2263
13251,1.3897,0.0000,0.000254,0.9794,0,2271
13301,1.3373,0.0000,0.000253,0.9806,0,2280
13351,1.2883,0.0000,0.000253,0.9824,0,2288
13401,1.3332,0.0000,0.000252,0.9824,0,2297
13451,1.3429,0.0000,0.000252,0.9810,0,2305
13501,1.3134,0.0000,0.000252,0.9813,0,2314
13551,1.2845,0.0000,0.000251,0.9840,0,2323
13601,1.3742,0.0000,0.000251,0.9807,0,2331
13651,1.3322,0.0000,0.000251,0.9813,0,2340
13701,1.3204,0.0000,0.000250,0.9822,0,2348
13751,1.3358,0.0000,0.000250,0.9818,0,2357
13801,1.2808,0.0000,0.000250,0.9812,0,2366
13851,1.2089,0.0000,0.000249,0.9819,0,2374
13901,1.2570,0.0000,0.000249,0.9786,0,2383
13951,1.3296,0.0000,0.000249,0.9791,0,2391
14001,1.2874,0.0000,0.000248,0.9791,0,2400
14051,1.2705,0.0000,0.000248,0.9823,0,2409
14101,1.3183,0.0000,0.000248,0.9829,0,2417
14151,1.2339,0.0000,0.000247,0.9828,0,2426
14201,1.2826,0.0000,0.000247,0.9805,0,2434
14251,1.2644,0.0000,0.000246,0.9815,0,2443
14301,1.2386,0.0000,0.000246,0.9788,0,2451
14351,1.3447,0.0000,0.000246,0.9805,0,2460
14401,1.2875,0.0000,0.000245,0.9812,0,2468
14451,1.2275,0.0000,0.000245,0.9829,0,2477
14501,1.2491,0.0000,0.000245,0.9814,0,2486
14551,1.3035,0.0000,0.000244,0.9830,0,2494
14601,1.3057,0.0000,0.000244,0.9812,0,2503
14651,1.2967,0.0000,0.000243,0.9808,0,2511
14701,1.2932,0.0000,0.000243,0.9829,0,2520
14751,1.2598,0.0000,0.000243,0.9813,0,2528
14801,1.2780,0.0000,0.000242,0.9816,0,2537
14851,1.2709,0.0000,0.000242,0.9806,0,2546
14901,1.3071,0.0000,0.000242,0.9821,0,2554
14951,1.3175,0.0000,0.000241,0.9805,0,2563
15001,1.2529,0.0000,0.000241,0.9814,0,2571
15051,1.2154,0.0000,0.000240,0.9804,0,2580
15101,1.2855,0.0000,0.000240,0.9834,0,2588
15151,1.2130,0.0000,0.000240,0.9821,0,2597
15201,1.2899,0.0000,0.000239,0.9805,0,2606
15251,1.2433,0.0000,0.000239,0.9828,0,2614
15301,1.2325,0.0000,0.000239,0.9826,0,2623
15351,1.1848,0.0000,0.000238,0.9830,0,2631
15401,1.2886,0.0000,0.000238,0.9827,0,2640
15451,1.2321,0.0000,0.000237,0.9826,0,2648
15501,1.2069,0.0000,0.000237,0.9801,0,2657
15551,1.2271,0.0000,0.000237,0.9832,0,2666
15601,1.2758,0.0000,0.000236,0.9812,0,2674
15651,1.2368,0.0000,0.000236,0.9824,0,2683
15701,1.2747,0.0000,0.000235,0.9807,0,2691
15751,1.2170,0.0000,0.000235,0.9839,0,2700
15801,1.2494,0.0000,0.000235,0.9835,0,2708
15851,1.2446,0.0000,0.000234,0.9803,0,2717
15901,1.1911,0.0000,0.000234,0.9826,0,2726
15951,1.2402,0.0000,0.000233,0.9829,0,2734
16001,1.2440,0.0000,0.000233,0.9824,0,2743
16051,1.2238,0.0000,0.000233,0.9804,0,2751
16101,1.1837,0.0000,0.000232,0.9805,0,2760
16151,1.2620,0.0000,0.000232,0.9798,0,2768
16201,1.2215,0.0000,0.000231,0.9816,0,2777
16251,1.2507,0.0000,0.000231,0.9796,0,2785
16301,1.2299,0.0000,0.000231,0.9837,0,2794
16351,1.2743,0.0000,0.000230,0.9794,0,2803
16401,1.2041,0.0000,0.000230,0.9815,0,2811
16451,1.2719,0.0000,0.000229,0.9803,0,2820
16501,1.2705,0.0000,0.000229,0.9843,0,2828
16551,1.2270,0.0000,0.000229,0.9837,0,2837
16601,1.2652,0.0000,0.000228,0.9851,0,2845
16651,1.1994,0.0000,0.000228,0.9828,0,2854
16701,1.1965,0.0000,0.000227,0.9830,0,2863
16751,1.2579,0.0000,0.000227,0.9814,0,2871
16801,1.1537,0.0000,0.000227,0.9841,0,2880
16851,1.2044,0.0000,0.000226,0.9824,0,2888
16901,1.1766,0.0000,0.000226,0.9826,0,2897
16951,1.1928,0.0000,0.000225,0.9817,0,2905
17001,1.1992,0.0000,0.000225,0.9802,0,2914
17051,1.2128,0.0000,0.000225,0.9836,0,2923
17101,1.2139,0.0000,0.000224,0.9824,0,2931
17151,1.2185,0.0000,0.000224,0.9831,0,2940
17201,1.2383,0.0000,0.000223,0.9827,0,2948
17251,1.2299,0.0000,0.000223,0.9820,0,2957
17301,1.2222,0.0000,0.000223,0.9851,0,2965
17351,1.1637,0.0000,0.000222,0.9813,0,2974
17401,1.1788,0.0000,0.000222,0.9837,0,2983
17451,1.1801,0.0000,0.000221,0.9806,0,2991
17501,1.1635,0.0000,0.000221,0.9823,0,3000
17551,1.2354,0.0000,0.000220,0.9820,0,3008
17601,1.2090,0.0000,0.000220,0.9832,0,3017
17651,1.1978,0.0000,0.000220,0.9841,0,3025
17701,1.1661,0.0000,0.000219,0.9838,0,3034
17751,1.1723,0.0000,0.000219,0.9831,0,3043
17801,1.2240,0.0000,0.000218,0.9823,0,3051
17851,1.1980,0.0000,0.000218,0.9815,0,3060
17901,1.1507,0.0000,0.000217,0.9845,0,3068
17951,1.1475,0.0000,0.000217,0.9823,0,3077
18001,1.1573,0.0000,0.000217,0.9817,0,3085
18051,1.2411,0.0000,0.000216,0.9831,0,3094
18101,1.2072,0.0000,0.000216,0.9827,0,3102
18151,1.2149,0.0000,0.000215,0.9818,0,3111
18201,1.1803,0.0000,0.000215,0.9831,0,3120
18251,1.1150,0.0000,0.000214,0.9832,0,3128
18301,1.1381,0.0000,0.000214,0.9840,0,3137
18351,1.1846,0.0000,0.000214,0.9796,0,3145
18401,1.2001,0.0000,0.000213,0.9811,0,3154
18451,1.1598,0.0000,0.000213,0.9830,0,3162
18501,1.1727,0.0000,0.000212,0.9820,0,3171
18551,1.1274,0.0000,0.000212,0.9817,0,3180
18601,1.1430,0.0000,0.000211,0.9829,0,3188
18651,1.1792,0.0000,0.000211,0.9828,0,3197
18701,1.2144,0.0000,0.000211,0.9837,0,3205
18751,1.1515,0.0000,0.000210,0.9813,0,3214
18801,1.1264,0.0000,0.000210,0.9800,0,3222
18851,1.1598,0.0000,0.000209,0.9810,0,3231
18901,1.1421,0.0000,0.000209,0.9818,0,3240
18951,1.1710,0.0000,0.000208,0.9833,0,3248
19001,1.1476,0.0000,0.000208,0.9821,0,3257
19051,1.1872,0.0000,0.000208,0.9806,0,3265
19101,1.1458,0.0000,0.000207,0.9836,0,3274
19151,1.1337,0.0000,0.000207,0.9818,0,3282
19201,1.1713,0.0000,0.000206,0.9818,0,3291
19251,1.1438,0.0000,0.000206,0.9826,0,3299
19301,1.1291,0.0000,0.000205,0.9821,0,3308
19351,1.1133,0.0000,0.000205,0.9831,0,3317
19401,1.1889,0.0000,0.000204,0.9824,0,3325
19451,1.1613,0.0000,0.000204,0.9829,0,3334
19501,1.1794,0.0000,0.000204,0.9794,0,3342
19551,1.1406,0.0000,0.000203,0.9828,0,3351
19601,1.1212,0.0000,0.000203,0.9829,0,3359
19651,1.1025,0.0000,0.000202,0.9808,0,3368
19701,1.1533,0.0000,0.000202,0.9835,0,3377
19751,1.1233,0.0000,0.000201,0.9829,0,3385
19801,1.1910,0.0000,0.000201,0.9836,0,3394
19851,1.1314,0.0000,0.000200,0.9843,0,3402
19901,1.1233,0.0000,0.000200,0.9833,0,3411
19951,1.1362,0.0000,0.000200,0.9832,0,3419
20001,1.1337,0.0000,0.000199,0.9823,0,3428
20051,1.1076,0.0000,0.000199,0.9846,0,3437
20101,1.1457,0.0000,0.000198,0.9833,0,3445
20151,1.1101,0.0000,0.000198,0.9833,0,3454
20201,1.0840,0.0000,0.000197,0.9831,0,3462
20251,1.2097,0.0000,0.000197,0.9824,0,3471
20301,1.1738,0.0000,0.000196,0.9842,0,3479
20351,1.1331,0.0000,0.000196,0.9834,0,3488
20401,1.1260,0.0000,0.000195,0.9826,0,3497
20451,1.1643,0.0000,0.000195,0.9832,0,3505
20501,1.1775,0.0000,0.000195,0.9843,0,3514
20551,1.0971,0.0000,0.000194,0.9831,0,3522
20601,1.0932,0.0000,0.000194,0.9848,0,3531
20651,1.0805,0.0000,0.000193,0.9839,0,3539
20701,1.1104,0.0000,0.000193,0.9833,0,3548
20751,1.1200,0.0000,0.000192,0.9831,0,3556
20801,1.0947,0.0000,0.000192,0.9840,0,3565
20851,1.1501,0.0000,0.000191,0.9814,0,3574
20901,1.1498,0.0000,0.000191,0.9844,0,3582
20951,1.1138,0.0000,0.000190,0.9840,0,3591
21001,1.0954,0.0000,0.000190,0.9841,0,3599
21051,1.0738,0.0000,0.000190,0.9832,0,3608
21101,1.1284,0.0000,0.000189,0.9845,0,3616
21151,1.0982,0.0000,0.000189,0.9851,0,3625
21201,1.0959,0.0000,0.000188,0.9834,0,3634
21251,1.1311,0.0000,0.000188,0.9830,0,3642
21301,1.0514,0.0000,0.000187,0.9847,0,3651
21351,1.1325,0.0000,0.000187,0.9843,0,3659
21401,1.0258,0.0000,0.000186,0.9834,0,3668
21451,1.0980,0.0000,0.000186,0.9843,0,3676
21501,1.0708,0.0000,0.000185,0.9827,0,3685
21551,1.0497,0.0000,0.000185,0.9850,0,3694
21601,1.1273,0.0000,0.000184,0.9851,0,3702
21651,1.0866,0.0000,0.000184,0.9851,0,3711
21701,1.1189,0.0000,0.000184,0.9835,0,3719
21751,1.0604,0.0000,0.000183,0.9844,0,3728
21801,1.0592,0.0000,0.000183,0.9842,0,3736
21851,1.0701,0.0000,0.000182,0.9838,0,3745
21901,1.1056,0.0000,0.000182,0.9836,0,3754
21951,1.0880,0.0000,0.000181,0.9855,0,3762
22001,1.0998,0.0000,0.000181,0.9837,0,3771
22051,1.0627,0.0000,0.000180,0.9845,0,3779
22101,1.0732,0.0000,0.000180,0.9845,0,3788
22151,1.1579,0.0000,0.000179,0.9861,0,3796
22201,1.1046,0.0000,0.000179,0.9852,0,3805
22251,1.0364,0.0000,0.000178,0.9828,0,3813
22301,1.0732,0.0000,0.000178,0.9837,0,3822
22351,1.0832,0.0000,0.000177,0.9840,0,3831
22401,1.0654,0.0000,0.000177,0.9851,0,3839
22451,1.0518,0.0000,0.000177,0.9822,0,3848
22501,1.0806,0.0000,0.000176,0.9853,0,3856
22551,1.0334,0.0000,0.000176,0.9865,0,3865
22601,1.0451,0.0000,0.000175,0.9845,0,3873
22651,1.0703,0.0000,0.000175,0.9838,0,3882
22701,1.0641,0.0000,0.000174,0.9831,0,3891
22751,1.0384,0.0000,0.000174,0.9845,0,3899
22801,1.0344,0.0000,0.000173,0.9860,0,3908
22851,1.0826,0.0000,0.000173,0.9838,0,3916
22901,1.0540,0.0000,0.000172,0.9847,0,3925
22951,1.0739,0.0000,0.000172,0.9846,0,3933
23001,1.1138,0.0000,0.000171,0.9861,0,3942
23051,1.0151,0.0000,0.000171,0.9843,0,3951
23101,1.0202,0.0000,0.000170,0.9869,0,3959
23151,1.0767,0.0000,0.000170,0.9853,0,3968
23201,1.0932,0.0000,0.000169,0.9850,0,3976
23251,1.0276,0.0000,0.000169,0.9855,0,3985
23301,1.0747,0.0000,0.000169,0.9858,0,3993
23351,1.0140,0.0000,0.000168,0.9853,0,4002
23401,1.0754,0.0000,0.000168,0.9839,0,4011
23451,1.0597,0.0000,0.000167,0.9843,0,4019
23501,1.0499,0.0000,0.000167,0.9850,0,4028
23551,1.0207,0.0000,0.000166,0.9845,0,4036
23601,1.0301,0.0000,0.000166,0.9842,0,4045
23651,1.0799,0.0000,0.000165,0.9828,0,4053
23701,1.1602,0.0000,0.000165,0.9853,0,4062
23751,1.0363,0.0000,0.000164,0.9843,0,4070
23801,1.0661,0.0000,0.000164,0.9847,0,4079
23851,1.1171,0.0000,0.000163,0.9855,0,4088
23901,1.0066,0.0000,0.000163,0.9851,0,4096
23951,1.0374,0.0000,0.000162,0.9833,0,4105
24001,1.0787,0.0000,0.000162,0.9848,0,4113
24051,1.0778,0.0000,0.000161,0.9848,0,4122
24101,1.0203,0.0000,0.000161,0.9844,0,4130
24151,0.9947,0.0000,0.000160,0.9845,0,4139
24201,1.0320,0.0000,0.000160,0.9841,0,4148
24251,1.0240,0.0000,0.000160,0.9841,0,4156
24301,1.0255,0.0000,0.000159,0.9855,0,4165
24351,1.0186,0.0000,0.000159,0.9831,0,4173
24401,1.0354,0.0000,0.000158,0.9851,0,4182
24451,0.9834,0.0000,0.000158,0.9858,0,4190
24501,1.0219,0.0000,0.000157,0.9847,0,4199
24551,0.9931,0.0000,0.000157,0.9844,0,4208
24601,1.0162,0.0000,0.000156,0.9863,0,4216
24651,1.0452,0.0000,0.000156,0.9845,0,4225
24701,0.9784,0.0000,0.000155,0.9849,0,4233
24751,1.0335,0.0000,0.000155,0.9844,0,4242
24801,1.0223,0.0000,0.000154,0.9861,0,4250
24851,1.0267,0.0000,0.000154,0.9850,0,4259
24901,1.0197,0.0000,0.000153,0.9868,0,4268
24951,1.0451,0.0000,0.000153,0.9849,0,4276
25001,0.9600,0.0000,0.000152,0.9862,0,4285
25051,1.0461,0.0000,0.000152,0.9842,0,4293
