k,variant,dead_bits,total_bits,entropy,r3_train_acc,r3_test_acc,r3_train_cos_mean,r3_test_cos_mean,semantic_gap,lang_loss
6,Baseline,3,6,0.3047,0.0000,0.0000,0.1324,0.2679,0.0105,1.7184
6,R3 w=1.0,2,6,0.5937,1.0000,0.2500,0.9986,-0.1178,-0.0726,1.7535
6,R3 w=5.0,2,6,0.6648,1.0000,0.2500,0.9997,-0.2098,-0.3472,1.7327
8,Baseline,3,8,0.5276,0.0000,0.0000,0.0242,0.3410,-0.0386,1.7400
8,R3 w=1.0,3,8,0.6550,1.0000,0.0000,0.9983,-0.5475,-0.2604,1.7711
8,R3 w=5.0,2,8,0.7208,1.0000,0.2500,0.9993,0.2470,-0.2896,1.7420
12,Baseline,4,12,0.5989,0.0000,0.0000,0.0180,0.2256,-0.0378,1.6899
12,R3 w=1.0,5,12,0.5720,1.0000,0.0000,0.9989,-0.4904,-0.2331,1.6384
12,R3 w=5.0,2,12,0.8320,1.0000,0.2500,0.9995,0.2166,-0.4763,1.7374
