step,lang_loss,tri_loss,sub_loss,lr,entropy,dead_bits,elapsed_s
1,8.3544,0.0000,0.000000,0.000001,0.7593,5,1
51,7.0170,0.0000,0.000000,0.000031,0.2481,46,9
101,5.7089,0.0000,0.000000,0.000061,0.5910,12,18
151,5.0023,0.0000,0.000000,0.000091,0.7878,1,26
201,4.4668,0.0000,0.000000,0.000121,0.8705,0,35
251,4.1877,0.0000,0.000000,0.000151,0.8813,0,43
301,4.0251,0.0000,0.000000,0.000181,0.9133,0,52
351,3.8506,0.0000,0.000000,0.000211,0.9270,0,61
401,3.6948,0.0000,0.000000,0.000241,0.9268,0,69
451,3.6383,0.0000,0.000000,0.000271,0.9422,0,78
501,3.5108,0.0000,0.000000,0.000300,0.9550,0,86
551,3.4132,0.0000,0.000000,0.000300,0.9538,0,95
601,3.2604,0.0000,0.000000,0.000300,0.9487,0,103
651,3.1070,0.0000,0.000000,0.000300,0.9513,0,112
701,3.0352,0.0000,0.000000,0.000300,0.9603,0,120
751,3.0457,0.0000,0.000000,0.000300,0.9604,0,129
801,2.9131,0.0000,0.000000,0.000300,0.9639,0,137
851,2.9132,0.0000,0.000000,0.000300,0.9635,0,146
901,2.7384,0.0000,0.000000,0.000300,0.9631,0,155
951,2.7707,0.0000,0.000000,0.000300,0.9640,0,163
1001,2.7100,0.0000,0.000000,0.000300,0.9675,0,172
1051,2.5578,0.0000,0.000000,0.000300,0.9673,0,180
1101,2.6581,0.0000,0.000000,0.000300,0.9700,0,189
1151,2.5351,0.0000,0.000000,0.000300,0.9651,0,197
1201,2.5013,0.0000,0.000000,0.000300,0.9697,0,206
1251,2.4315,0.0000,0.000000,0.000300,0.9724,0,215
1301,2.4551,0.0000,0.000000,0.000300,0.9700,0,223
1351,2.4003,0.0000,0.000000,0.000300,0.9719,0,232
1401,2.3274,0.0000,0.000000,0.000300,0.9695,0,240
1451,2.3011,0.0000,0.000000,0.000300,0.9697,0,249
1501,2.2211,0.0000,0.000000,0.000300,0.9729,0,257
1551,2.2588,0.0000,0.000000,0.000300,0.9712,0,266
1601,2.2207,0.0000,0.000000,0.000300,0.9742,0,274
1651,2.3121,0.0000,0.000000,0.000300,0.9757,0,283
1701,2.2934,0.0000,0.000000,0.000300,0.9733,0,292
1751,2.2668,0.0000,0.000000,0.000300,0.9709,0,300
