step,loss,tri_loss,lr,elapsed_s
1,8.394607,0.000000,0.00000060,1.1
2,8.380334,0.000000,0.00000120,1.2
3,8.368454,0.000000,0.00000180,1.4
4,8.352133,0.000000,0.00000240,1.6
5,8.309265,0.000000,0.00000300,1.8
6,8.267954,0.000000,0.00000360,1.9
7,8.217066,0.000000,0.00000420,2.1
8,8.170883,0.000000,0.00000480,2.3
9,8.125198,0.000000,0.00000540,2.5
10,8.056646,0.000000,0.00000600,2.6
11,7.997343,0.000000,0.00000660,2.8
12,7.940968,0.000000,0.00000720,3.0
13,7.889459,0.000000,0.00000780,3.1
14,7.827728,0.000000,0.00000840,3.3
15,7.785059,0.000000,0.00000900,3.5
16,7.748672,0.000000,0.00000960,3.7
17,7.690214,0.000000,0.00001020,3.8
18,7.637840,0.000000,0.00001080,4.0
19,7.607082,0.000000,0.00001140,4.2
20,7.582614,0.000000,0.00001200,4.4
21,7.528931,0.000000,0.00001260,4.5
22,7.495243,0.000000,0.00001320,4.7
23,7.484234,0.000000,0.00001380,4.9
24,7.450004,0.000000,0.00001440,5.0
25,7.437066,0.000000,0.00001500,5.2
26,7.399060,0.000000,0.00001560,5.4
27,7.383858,0.000000,0.00001620,5.6
28,7.378085,0.000000,0.00001680,5.7
29,7.343219,0.000000,0.00001740,5.9
30,7.328394,0.000000,0.00001800,6.1
31,7.302917,0.000000,0.00001860,6.3
32,7.286062,0.000000,0.00001920,6.4
33,7.285150,0.000000,0.00001980,6.6
34,7.217940,0.000000,0.00002040,6.8
35,7.239660,0.000000,0.00002100,6.9
36,7.234773,0.000000,0.00002160,7.1
37,7.192148,0.000000,0.00002220,7.3
38,7.209357,0.000000,0.00002280,7.5
39,7.196197,0.000000,0.00002340,7.6
40,7.190555,0.000000,0.00002400,7.8
41,7.165516,0.000000,0.00002460,8.0
42,7.132450,0.000000,0.00002520,8.2
43,7.143219,0.000000,0.00002580,8.3
44,7.112143,0.000000,0.00002640,8.5
45,7.117225,0.000000,0.00002700,8.7
46,7.074309,0.000000,0.00002760,8.8
47,7.066607,0.000000,0.00002820,9.0
48,7.081154,0.000000,0.00002880,9.2
49,7.044180,0.000000,0.00002940,9.4
50,7.022812,0.000000,0.00003000,9.5
51,7.016166,0.000000,0.00003060,9.7
52,6.991868,0.000000,0.00003120,9.9
53,6.971328,0.000000,0.00003180,10.1
54,6.951598,0.000000,0.00003240,10.2
55,6.919460,0.000000,0.00003300,10.4
56,6.918038,0.000000,0.00003360,10.6
57,6.908437,0.000000,0.00003420,10.7
58,6.865310,0.000000,0.00003480,10.9
59,6.815820,0.000000,0.00003540,11.1
60,6.841147,0.000000,0.00003600,11.3
61,6.766869,0.000000,0.00003660,11.4
62,6.755795,0.000000,0.00003720,11.6
63,6.727880,0.000000,0.00003780,11.8
64,6.723846,0.000000,0.00003840,12.0
65,6.702307,0.000000,0.00003900,12.1
66,6.670957,0.000000,0.00003960,12.3
67,6.670484,0.000000,0.00004020,12.5
68,6.614716,0.000000,0.00004080,12.6
69,6.583645,0.000000,0.00004140,12.8
70,6.575698,0.000000,0.00004200,13.0
71,6.572078,0.000000,0.00004260,13.2
72,6.551364,0.000000,0.00004320,13.3
73,6.497528,0.000000,0.00004380,13.5
74,6.447528,0.000000,0.00004440,13.7
75,6.445386,0.000000,0.00004500,13.9
76,6.429678,0.000000,0.00004560,14.0
77,6.395743,0.000000,0.00004620,14.2
78,6.372070,0.000000,0.00004680,14.4
79,6.350958,0.000000,0.00004740,14.5
80,6.294118,0.000000,0.00004800,14.7
81,6.265359,0.000000,0.00004860,14.9
82,6.258322,0.000000,0.00004920,15.1
83,6.248835,0.000000,0.00004980,15.2
84,6.207626,0.000000,0.00005040,15.4
85,6.150996,0.000000,0.00005100,15.6
86,6.137550,0.000000,0.00005160,15.8
87,6.062605,0.000000,0.00005220,15.9
88,6.106206,0.000000,0.00005280,16.1
89,6.031429,0.000000,0.00005340,16.3
90,6.051454,0.000000,0.00005400,16.4
91,6.016418,0.000000,0.00005460,16.6
92,5.977705,0.000000,0.00005520,16.8
93,5.974443,0.000000,0.00005580,17.0
94,5.888522,0.000000,0.00005640,17.1
95,5.886811,0.000000,0.00005700,17.3
96,5.876219,0.000000,0.00005760,17.5
97,5.860388,0.000000,0.00005820,17.7
98,5.843817,0.000000,0.00005880,17.8
99,5.823862,0.000000,0.00005940,18.0
100,5.794787,0.000000,0.00006000,18.2
101,5.814413,0.000000,0.00006060,18.3
102,5.699799,0.000000,0.00006120,18.5
103,5.747616,0.000000,0.00006180,18.7
104,5.763160,0.000000,0.00006240,18.9
105,5.681061,0.000000,0.00006300,19.0
106,5.627516,0.000000,0.00006360,19.2
107,5.638524,0.000000,0.00006420,19.4
108,5.564704,0.000000,0.00006480,19.6
109,5.570796,0.000000,0.00006540,19.7
110,5.622735,0.000000,0.00006600,19.9
111,5.577380,0.000000,0.00006660,20.1
112,5.589913,0.000000,0.00006720,20.2
113,5.492215,0.000000,0.00006780,20.4
114,5.495323,0.000000,0.00006840,20.6
115,5.504046,0.000000,0.00006900,20.8
116,5.492723,0.000000,0.00006960,20.9
117,5.444683,0.000000,0.00007020,21.1
118,5.453528,0.000000,0.00007080,21.3
119,5.360520,0.000000,0.00007140,21.5
120,5.420947,0.000000,0.00007200,21.6
121,5.355510,0.000000,0.00007260,21.8
122,5.428567,0.000000,0.00007320,22.0
123,5.377004,0.000000,0.00007380,22.1
124,5.308493,0.000000,0.00007440,22.3
125,5.244967,0.000000,0.00007500,22.5
126,5.333437,0.000000,0.00007560,22.7
127,5.275916,0.000000,0.00007620,22.8
128,5.270523,0.000000,0.00007680,23.0
129,5.243142,0.000000,0.00007740,23.2
130,5.300613,0.000000,0.00007800,23.4
131,5.229747,0.000000,0.00007860,23.5
132,5.237033,0.000000,0.00007920,23.7
133,5.267676,0.000000,0.00007980,23.9
134,5.218835,0.000000,0.00008040,24.0
135,5.199301,0.000000,0.00008100,24.2
136,5.167795,0.000000,0.00008160,24.4
137,5.164891,0.000000,0.00008220,24.6
138,5.114229,0.000000,0.00008280,24.7
139,5.131634,0.000000,0.00008340,24.9
140,5.144652,0.000000,0.00008400,25.1
