step,loss,tri_loss,lr,elapsed_s
1,8.373010,0.000000,0.00000060,0.8
2,8.371643,0.000000,0.00000120,1.0
3,8.350323,0.000000,0.00000180,1.2
4,8.329047,0.000000,0.00000240,1.3
5,8.301212,0.000000,0.00000300,1.5
6,8.272142,0.000000,0.00000360,1.7
7,8.218569,0.000000,0.00000420,1.9
8,8.178759,0.000000,0.00000480,2.0
9,8.124933,0.000000,0.00000540,2.2
10,8.070583,0.000000,0.00000600,2.4
11,8.018656,0.000000,0.00000660,2.5
12,7.955274,0.000000,0.00000720,2.7
13,7.904658,0.000000,0.00000780,2.9
14,7.849145,0.000000,0.00000840,3.1
15,7.805591,0.000000,0.00000900,3.2
16,7.744540,0.000000,0.00000960,3.4
17,7.722734,0.000000,0.00001020,3.6
18,7.675537,0.000000,0.00001080,3.8
19,7.644212,0.000000,0.00001140,3.9
20,7.603896,0.000000,0.00001200,4.1
21,7.559111,0.000000,0.00001260,4.3
22,7.527008,0.000000,0.00001320,4.4
23,7.508357,0.000000,0.00001380,4.6
24,7.472060,0.000000,0.00001440,4.8
25,7.448635,0.000000,0.00001500,5.0
26,7.410376,0.000000,0.00001560,5.1
27,7.394977,0.000000,0.00001620,5.3
28,7.376962,0.000000,0.00001680,5.5
29,7.337260,0.000000,0.00001740,5.7
30,7.333108,0.000000,0.00001800,5.8
31,7.309666,0.000000,0.00001860,6.0
32,7.290287,0.000000,0.00001920,6.2
33,7.288558,0.000000,0.00001980,6.3
34,7.267589,0.000000,0.00002040,6.5
35,7.247972,0.000000,0.00002100,6.7
36,7.236339,0.000000,0.00002160,6.9
37,7.210917,0.000000,0.00002220,7.0
38,7.225288,0.000000,0.00002280,7.2
39,7.195276,0.000000,0.00002340,7.4
40,7.180390,0.000000,0.00002400,7.6
41,7.152085,0.000000,0.00002460,7.7
42,7.166562,0.000000,0.00002520,7.9
43,7.110350,0.000000,0.00002580,8.1
44,7.112206,0.000000,0.00002640,8.2
45,7.122530,0.000000,0.00002700,8.4
46,7.102144,0.000000,0.00002760,8.6
47,7.051271,0.000000,0.00002820,8.8
48,7.088436,0.000000,0.00002880,8.9
49,7.041573,0.000000,0.00002940,9.1
50,7.017724,0.000000,0.00003000,9.3
51,7.013479,0.000000,0.00003060,9.5
52,6.982330,0.000000,0.00003120,9.6
53,6.968338,0.000000,0.00003180,9.8
54,6.956048,0.000000,0.00003240,10.0
55,6.890410,0.000000,0.00003300,10.1
56,6.891977,0.000000,0.00003360,10.3
57,6.899346,0.000000,0.00003420,10.5
58,6.833364,0.000000,0.00003480,10.7
59,6.815641,0.000000,0.00003540,10.8
60,6.770999,0.000000,0.00003600,11.0
61,6.774671,0.000000,0.00003660,11.2
62,6.737475,0.000000,0.00003720,11.4
63,6.701105,0.000000,0.00003780,11.5
64,6.687899,0.000000,0.00003840,11.7
65,6.663033,0.000000,0.00003900,11.9
66,6.660268,0.000000,0.00003960,12.1
67,6.606155,0.000000,0.00004020,12.2
68,6.606747,0.000000,0.00004080,12.4
69,6.568932,0.000000,0.00004140,12.6
70,6.548518,0.000000,0.00004200,12.7
71,6.525391,0.000000,0.00004260,12.9
72,6.529204,0.000000,0.00004320,13.1
73,6.501961,0.000000,0.00004380,13.3
74,6.415309,0.000000,0.00004440,13.4
75,6.440683,0.000000,0.00004500,13.6
76,6.418431,0.000000,0.00004560,13.8
77,6.392407,0.000000,0.00004620,14.0
78,6.353955,0.000000,0.00004680,14.1
79,6.328403,0.000000,0.00004740,14.3
80,6.317701,0.000000,0.00004800,14.5
81,6.296319,0.000000,0.00004860,14.6
82,6.237463,0.000000,0.00004920,14.8
83,6.208175,0.000000,0.00004980,15.0
84,6.218991,0.000000,0.00005040,15.2
85,6.117673,0.000000,0.00005100,15.3
86,6.125984,0.000000,0.00005160,15.5
87,6.045961,0.000000,0.00005220,15.7
88,6.042782,0.000000,0.00005280,15.9
89,5.991829,0.000000,0.00005340,16.0
90,6.015494,0.000000,0.00005400,16.2
91,5.996144,0.000000,0.00005460,16.4
92,5.911756,0.000000,0.00005520,16.5
93,5.890269,0.000000,0.00005580,16.7
94,5.900460,0.000000,0.00005640,16.9
95,5.910994,0.000000,0.00005700,17.1
96,5.864638,0.000000,0.00005760,17.2
97,5.784780,0.000000,0.00005820,17.4
98,5.811666,0.000000,0.00005880,17.6
99,5.788610,0.000000,0.00005940,17.8
100,5.747086,0.000000,0.00006000,17.9
101,5.717079,0.000000,0.00006060,18.1
102,5.682280,0.000000,0.00006120,18.3
103,5.682323,0.000000,0.00006180,18.4
104,5.701715,0.000000,0.00006240,18.6
105,5.608945,0.000000,0.00006300,18.8
106,5.578477,0.000000,0.00006360,19.0
107,5.641376,0.000000,0.00006420,19.1
108,5.542667,0.000000,0.00006480,19.3
109,5.545303,0.000000,0.00006540,19.5
110,5.514523,0.000000,0.00006600,19.7
111,5.505221,0.000000,0.00006660,19.8
112,5.510295,0.000000,0.00006720,20.0
113,5.486585,0.000000,0.00006780,20.2
114,5.451611,0.000000,0.00006840,20.4
115,5.471519,0.000000,0.00006900,20.5
116,5.465857,0.000000,0.00006960,20.7
117,5.401087,0.000000,0.00007020,20.9
118,5.366113,0.000000,0.00007080,21.0
119,5.379273,0.000000,0.00007140,21.2
120,5.482626,0.000000,0.00007200,21.4
121,5.404760,0.000000,0.00007260,21.6
122,5.299226,0.000000,0.00007320,21.7
123,5.293445,0.000000,0.00007380,21.9
124,5.312441,0.000000,0.00007440,22.1
125,5.270951,0.000000,0.00007500,22.3
126,5.323030,0.000000,0.00007560,22.4
