step,lang_loss,tri_loss,sub_loss,lr,entropy,dead_bits,elapsed_s
1,8.4057,0.0000,0.000000,0.000001,0.8128,1,1
51,6.9954,0.0000,0.000000,0.000031,0.2677,43,9
101,5.6320,0.0000,0.000000,0.000061,0.6292,12,18
151,4.9267,0.0000,0.000000,0.000091,0.7766,3,26
201,4.5062,0.0000,0.000000,0.000121,0.8368,2,35
251,4.2210,0.0000,0.000000,0.000151,0.8832,0,44
301,4.0036,0.0000,0.000000,0.000181,0.9046,0,52
351,3.7969,0.0000,0.000000,0.000211,0.9140,0,61
401,3.7663,0.0000,0.000000,0.000241,0.9212,0,69
451,3.5961,0.0000,0.000000,0.000271,0.9316,0,78
501,3.4083,0.0000,0.000000,0.000300,0.9370,0,86
551,3.3381,0.0000,0.000000,0.000300,0.9468,0,95
601,3.2526,0.0000,0.000000,0.000300,0.9478,0,104
651,3.1029,0.0000,0.000000,0.000300,0.9450,0,112
701,2.9924,0.0000,0.000000,0.000300,0.9471,0,121
751,3.0025,0.0000,0.000000,0.000300,0.9586,0,129
801,2.8859,0.0000,0.000000,0.000300,0.9566,0,138
851,2.8750,0.0000,0.000000,0.000300,0.9524,0,146
901,2.7463,0.0000,0.000000,0.000300,0.9529,0,155
951,2.7477,0.0000,0.000000,0.000300,0.9585,0,164
1001,2.6681,0.0000,0.000000,0.000300,0.9615,0,172
1051,2.5221,0.0000,0.000000,0.000300,0.9593,0,181
1101,2.6042,0.0000,0.000000,0.000300,0.9618,0,189
1151,2.5186,0.0000,0.000000,0.000300,0.9618,0,198
1201,2.5490,0.0000,0.000000,0.000300,0.9639,0,206
1251,2.4294,0.0000,0.000000,0.000300,0.9656,0,215
1301,2.4725,0.0000,0.000000,0.000300,0.9595,0,224
1351,2.3794,0.0000,0.000000,0.000300,0.9667,0,232
1401,2.3502,0.0000,0.000000,0.000300,0.9689,0,241
1451,2.3423,0.0000,0.000000,0.000300,0.9678,0,249
1501,2.2581,0.0000,0.000000,0.000300,0.9628,0,258
1551,2.2712,0.0000,0.000000,0.000300,0.9691,0,266
1601,2.2227,0.0000,0.000000,0.000300,0.9727,0,275
1651,2.3084,0.0000,0.000000,0.000300,0.9685,0,284
1701,2.1848,0.0000,0.000000,0.000300,0.9680,0,292
1751,2.2531,0.0000,0.000000,0.000300,0.9640,0,301
1801,2.1668,0.0000,0.000000,0.000299,0.9658,0,309
1851,2.2219,0.0000,0.000000,0.000299,0.9688,0,318
1901,2.1191,0.0000,0.000000,0.000299,0.9688,0,326
1951,2.1471,0.0000,0.000000,0.000299,0.9652,0,335
2001,2.1372,0.0000,0.000000,0.000299,0.9686,0,344
2051,2.0766,0.0000,0.000000,0.000299,0.9670,0,352
2101,2.1207,0.0000,0.000000,0.000299,0.9681,0,361
2151,2.1058,0.0000,0.000000,0.000299,0.9698,0,369
2201,2.0810,0.0000,0.000000,0.000299,0.9679,0,378
2251,2.0592,0.0000,0.000000,0.000299,0.9650,0,386
2301,2.0030,0.0000,0.000000,0.000299,0.9675,0,395
2351,2.0450,0.0000,0.000000,0.000299,0.9717,0,404
2401,2.0436,0.0000,0.000000,0.000299,0.9726,0,412
2451,2.0173,0.0000,0.000000,0.000299,0.9640,0,421
2501,2.0094,0.0000,0.000000,0.000299,0.9700,0,429
2551,1.9613,0.0000,0.000000,0.000299,0.9677,0,438
2601,1.9846,0.0000,0.000000,0.000299,0.9660,0,446
2651,2.0140,0.0000,0.000000,0.000299,0.9721,0,455
2701,1.9115,0.0000,0.000000,0.000299,0.9689,0,464
2751,1.9377,0.0000,0.000000,0.000298,0.9738,0,472
2801,1.9850,0.0000,0.000000,0.000298,0.9729,0,481
2851,1.9728,0.0000,0.000000,0.000298,0.9746,0,489
2901,1.9233,0.0000,0.000000,0.000298,0.9715,0,498
2951,1.9782,0.0000,0.000000,0.000298,0.9686,0,506
3001,1.8584,0.0000,0.000000,0.000298,0.9696,0,515
3051,1.8891,0.0000,0.000000,0.000298,0.9763,0,524
3101,1.9100,0.0000,0.000000,0.000298,0.9700,0,532
3151,1.8762,0.0000,0.000000,0.000298,0.9748,0,541
3201,1.8697,0.0000,0.000000,0.000298,0.9740,0,549
3251,1.8664,0.0000,0.000000,0.000298,0.9765,0,558
3301,1.8316,0.0000,0.000000,0.000298,0.9723,0,566
3351,1.8181,0.0000,0.000000,0.000298,0.9749,0,575
3401,1.8854,0.0000,0.000000,0.000297,0.9724,0,584
3451,1.8949,0.0000,0.000000,0.000297,0.9766,0,592
3501,1.7955,0.0000,0.000000,0.000297,0.9735,0,601
3551,1.9102,0.0000,0.000000,0.000297,0.9745,0,609
3601,1.8430,0.0000,0.000000,0.000297,0.9712,0,618
