step,lang_loss,tri_loss,sub_loss,lr,entropy,dead_bits,elapsed_s
1,8.3955,0.0000,0.000000,0.000001,0.7441,3,1
51,7.0387,0.0000,0.000000,0.000031,0.1499,52,9
101,5.8068,0.0000,0.000000,0.000061,0.5814,11,18
151,4.9863,0.0000,0.000000,0.000091,0.7690,2,26
201,4.4765,0.0000,0.000000,0.000121,0.8421,0,35
251,4.2061,0.0000,0.000000,0.000151,0.8869,0,43
301,4.0153,0.0000,0.000000,0.000181,0.8808,0,52
351,3.9444,0.0000,0.000000,0.000211,0.8905,0,61
401,3.8049,0.0000,0.000000,0.000241,0.9089,0,69
451,3.5261,0.0000,0.000000,0.000271,0.9060,0,78
501,3.3912,0.0000,0.000000,0.000300,0.9201,0,86
551,3.3507,0.0000,0.000000,0.000300,0.9358,0,95
601,3.2848,0.0000,0.000000,0.000300,0.9303,0,103
651,3.1100,0.0000,0.000000,0.000300,0.9358,0,112
701,2.9949,0.0000,0.000000,0.000300,0.9383,0,120
751,2.9634,0.0000,0.000000,0.000300,0.9417,0,129
801,2.8275,0.0000,0.000000,0.000300,0.9450,0,138
851,2.8518,0.0000,0.000000,0.000300,0.9502,0,146
901,2.7353,0.0000,0.000000,0.000300,0.9432,0,155
951,2.6945,0.0000,0.000000,0.000300,0.9530,0,163
1001,2.7029,0.0000,0.000000,0.000300,0.9467,0,172
1051,2.6154,0.0000,0.000000,0.000300,0.9507,0,180
1101,2.5477,0.0000,0.000000,0.000300,0.9590,0,189
1151,2.5169,0.0000,0.000000,0.000300,0.9534,0,198
1201,2.5447,0.0000,0.000000,0.000300,0.9577,0,206
1251,2.4604,0.0000,0.000000,0.000300,0.9530,0,215
1301,2.4974,0.0000,0.000000,0.000300,0.9563,0,223
1351,2.3139,0.0000,0.000000,0.000300,0.9574,0,232
1401,2.4001,0.0000,0.000000,0.000300,0.9540,0,240
1451,2.3555,0.0000,0.000000,0.000300,0.9574,0,249
1501,2.3273,0.0000,0.000000,0.000300,0.9510,0,257
1551,2.2938,0.0000,0.000000,0.000300,0.9566,0,266
1601,2.2906,0.0000,0.000000,0.000300,0.9613,0,275
1651,2.2442,0.0000,0.000000,0.000300,0.9598,0,283
1701,2.2685,0.0000,0.000000,0.000300,0.9626,0,292
1751,2.2163,0.0000,0.000000,0.000300,0.9632,0,300
1801,2.2305,0.0000,0.000000,0.000299,0.9614,0,309
1851,2.1951,0.0000,0.000000,0.000299,0.9589,0,317
1901,2.0987,0.0000,0.000000,0.000299,0.9630,0,326
1951,2.1570,0.0000,0.000000,0.000299,0.9526,0,335
2001,2.0926,0.0000,0.000000,0.000299,0.9626,0,343
2051,2.1361,0.0000,0.000000,0.000299,0.9590,0,352
2101,2.2073,0.0000,0.000000,0.000299,0.9617,0,360
2151,2.1536,0.0000,0.000000,0.000299,0.9591,0,369
2201,2.0726,0.0000,0.000000,0.000299,0.9687,0,377
2251,2.0337,0.0000,0.000000,0.000299,0.9639,0,386
2301,2.1263,0.0000,0.000000,0.000299,0.9583,0,394
2351,1.9952,0.0000,0.000000,0.000299,0.9640,0,403
2401,2.0321,0.0000,0.000000,0.000299,0.9646,0,412
2451,2.0258,0.0000,0.000000,0.000299,0.9617,0,420
2501,2.0097,0.0000,0.000000,0.000299,0.9598,0,429
2551,2.0192,0.0000,0.000000,0.000299,0.9666,0,437
2601,2.0132,0.0000,0.000000,0.000299,0.9699,0,446
2651,1.9998,0.0000,0.000000,0.000299,0.9689,0,454
2701,1.9727,0.0000,0.000000,0.000299,0.9665,0,463
2751,1.9002,0.0000,0.000000,0.000298,0.9635,0,472
2801,1.9178,0.0000,0.000000,0.000298,0.9680,0,480
2851,1.9938,0.0000,0.000000,0.000298,0.9619,0,489
2901,1.8164,0.0000,0.000000,0.000298,0.9689,0,497
2951,1.8906,0.0000,0.000000,0.000298,0.9663,0,506
3001,1.8965,0.0000,0.000000,0.000298,0.9687,0,514
3051,1.9451,0.0000,0.000000,0.000298,0.9700,0,523
3101,1.9700,0.0000,0.000000,0.000298,0.9684,0,532
3151,1.8847,0.0000,0.000000,0.000298,0.9685,0,540
3201,1.8527,0.0000,0.000000,0.000298,0.9687,0,549
3251,1.8814,0.0000,0.000000,0.000298,0.9672,0,557
3301,1.8697,0.0000,0.000000,0.000298,0.9680,0,566
3351,1.8184,0.0000,0.000000,0.000298,0.9668,0,574
3401,1.8436,0.0000,0.000000,0.000297,0.9688,0,583
3451,1.9164,0.0000,0.000000,0.000297,0.9694,0,591
3501,1.8979,0.0000,0.000000,0.000297,0.9660,0,600
3551,1.8995,0.0000,0.000000,0.000297,0.9690,0,609
3601,1.8566,0.0000,0.000000,0.000297,0.9711,0,617
3651,1.8818,0.0000,0.000000,0.000297,0.9723,0,626
3701,1.8299,0.0000,0.000000,0.000297,0.9747,0,634
3751,1.8161,0.0000,0.000000,0.000297,0.9717,0,643
3801,1.8186,0.0000,0.000000,0.000297,0.9713,0,651
3851,1.7776,0.0000,0.000000,0.000297,0.9703,0,660
3901,1.8051,0.0000,0.000000,0.000297,0.9677,0,669
3951,1.7830,0.0000,0.000000,0.000296,0.9691,0,677
4001,1.7973,0.0000,0.000000,0.000296,0.9698,0,686
4051,1.7686,0.0000,0.000000,0.000296,0.9690,0,694
4101,1.7172,0.0000,0.000000,0.000296,0.9719,0,703
4151,1.7341,0.0000,0.000000,0.000296,0.9706,0,711
4201,1.7349,0.0000,0.000000,0.000296,0.9691,0,720
4251,1.8131,0.0000,0.000000,0.000296,0.9693,0,728
4301,1.7735,0.0000,0.000000,0.000296,0.9702,0,737
4351,1.6652,0.0000,0.000000,0.000296,0.9734,0,746
4401,1.8173,0.0000,0.000000,0.000295,0.9667,0,754
4451,1.8147,0.0000,0.000000,0.000295,0.9697,0,763
4501,1.7593,0.0000,0.000000,0.000295,0.9724,0,771
4551,1.7279,0.0000,0.000000,0.000295,0.9728,0,780
4601,1.6262,0.0000,0.000000,0.000295,0.9714,0,788
4651,1.6734,0.0000,0.000000,0.000295,0.9755,0,797
4701,1.7401,0.0000,0.000000,0.000295,0.9702,0,806
4751,1.7441,0.0000,0.000000,0.000295,0.9735,0,814
4801,1.7374,0.0000,0.000000,0.000294,0.9714,0,823
4851,1.7514,0.0000,0.000000,0.000294,0.9705,0,831
4901,1.6993,0.0000,0.000000,0.000294,0.9708,0,840
4951,1.7515,0.0000,0.000000,0.000294,0.9736,0,848
5001,1.7461,0.0000,0.000000,0.000294,0.9728,0,857
5051,1.7915,0.0000,0.000000,0.000294,0.9755,0,866
5101,1.7589,0.0000,0.000000,0.000294,0.9691,0,874
5151,1.6749,0.0000,0.000000,0.000294,0.9769,0,883
5201,1.7408,0.0000,0.000000,0.000293,0.9715,0,891
5251,1.6590,0.0000,0.000000,0.000293,0.9675,0,900
5301,1.6663,0.0000,0.000000,0.000293,0.9730,0,908
5351,1.6779,0.0000,0.000000,0.000293,0.9752,0,917
5401,1.6032,0.0000,0.000000,0.000293,0.9732,0,925
5451,1.6741,0.0000,0.000000,0.000293,0.9711,0,934
5501,1.6433,0.0000,0.000000,0.000293,0.9779,0,943
5551,1.6506,0.0000,0.000000,0.000292,0.9774,0,951
5601,1.6928,0.0000,0.000000,0.000292,0.9739,0,960
5651,1.6756,0.0000,0.000000,0.000292,0.9731,0,968
5701,1.6699,0.0000,0.000000,0.000292,0.9725,0,977
5751,1.6567,0.0000,0.000000,0.000292,0.9720,0,985
5801,1.5801,0.0000,0.000000,0.000292,0.9726,0,994
5851,1.6745,0.0000,0.000000,0.000291,0.9701,0,1003
5901,1.6409,0.0000,0.000000,0.000291,0.9726,0,1011
5951,1.6462,0.0000,0.000000,0.000291,0.9729,0,1020
6001,1.5469,0.0000,0.000000,0.000291,0.9776,0,1028
6051,1.6570,0.0000,0.000000,0.000291,0.9741,0,1037
6101,1.6541,0.0000,0.000000,0.000291,0.9757,0,1045
6151,1.6723,0.0000,0.000000,0.000290,0.9756,0,1054
6201,1.5955,0.0000,0.000000,0.000290,0.9744,0,1062
6251,1.6199,0.0000,0.000000,0.000290,0.9757,0,1071
6301,1.6723,0.0000,0.000000,0.000290,0.9758,0,1080
6351,1.5946,0.0000,0.000000,0.000290,0.9754,0,1088
6401,1.5518,0.0000,0.000000,0.000290,0.9758,0,1097
6451,1.6487,0.0000,0.000000,0.000289,0.9747,0,1105
6501,1.6212,0.0000,0.000000,0.000289,0.9779,0,1114
6551,1.7002,0.0000,0.000000,0.000289,0.9774,0,1122
6601,1.6061,0.0000,0.000000,0.000289,0.9750,0,1131
6651,1.5536,0.0000,0.000000,0.000289,0.9760,0,1140
6701,1.6341,0.0000,0.000000,0.000289,0.9776,0,1148
6751,1.5774,0.0000,0.000000,0.000288,0.9762,0,1157
6801,1.5959,0.0000,0.000000,0.000288,0.9768,0,1165
6851,1.5897,0.0000,0.000000,0.000288,0.9751,0,1174
6901,1.5466,0.0000,0.000000,0.000288,0.9747,0,1182
6951,1.5232,0.0000,0.000000,0.000288,0.9743,0,1191
7001,1.5411,0.0000,0.000000,0.000287,0.9742,0,1199
7051,1.6054,0.0000,0.000000,0.000287,0.9739,0,1208
7101,1.5597,0.0000,0.000000,0.000287,0.9732,0,1217
7151,1.5755,0.0000,0.000000,0.000287,0.9787,0,1225
7201,1.5651,0.0000,0.000000,0.000287,0.9773,0,1234
7251,1.5468,0.0000,0.000000,0.000286,0.9750,0,1242
7301,1.5092,0.0000,0.000000,0.000286,0.9781,0,1251
7351,1.5410,0.0000,0.000000,0.000286,0.9766,0,1259
7401,1.6186,0.0000,0.000000,0.000286,0.9749,0,1268
7451,1.5384,0.0000,0.000000,0.000286,0.9774,0,1277
7501,1.5426,0.0000,0.000000,0.000285,0.9779,0,1285
7551,1.5906,0.0000,0.000000,0.000285,0.9775,0,1294
7601,1.4886,0.0000,0.000000,0.000285,0.9765,0,1302
7651,1.5427,0.0000,0.000000,0.000285,0.9772,0,1311
7701,1.5390,0.0000,0.000000,0.000285,0.9783,0,1319
7751,1.5338,0.0000,0.000000,0.000284,0.9759,0,1328
7801,1.5674,0.0000,0.000000,0.000284,0.9754,0,1336
7851,1.5565,0.0000,0.000000,0.000284,0.9781,0,1345
7901,1.5239,0.0000,0.000000,0.000284,0.9772,0,1354
7951,1.5490,0.0000,0.000000,0.000284,0.9779,0,1362
8001,1.4938,0.0000,0.000000,0.000283,0.9787,0,1371
8051,1.5513,0.0000,0.000000,0.000283,0.9759,0,1379
8101,1.5655,0.0000,0.000000,0.000283,0.9749,0,1388
8151,1.5836,0.0000,0.000000,0.000283,0.9751,0,1396
8201,1.4501,0.0000,0.000000,0.000282,0.9776,0,1405
8251,1.5074,0.0000,0.000000,0.000282,0.9766,0,1414
8301,1.4954,0.0000,0.000000,0.000282,0.9766,0,1422
8351,1.5691,0.0000,0.000000,0.000282,0.9780,0,1431
8401,1.5200,0.0000,0.000000,0.000282,0.9755,0,1439
8451,1.5124,0.0000,0.000000,0.000281,0.9777,0,1448
8501,1.4663,0.0000,0.000000,0.000281,0.9777,0,1456
8551,1.5102,0.0000,0.000000,0.000281,0.9752,0,1465
8601,1.5303,0.0000,0.000000,0.000281,0.9761,0,1473
8651,1.5737,0.0000,0.000000,0.000280,0.9740,0,1482
8701,1.5204,0.0000,0.000000,0.000280,0.9742,0,1491
8751,1.4651,0.0000,0.000000,0.000280,0.9771,0,1499
8801,1.5441,0.0000,0.000000,0.000280,0.9735,0,1508
8851,1.5014,0.0000,0.000000,0.000279,0.9770,0,1516
8901,1.4764,0.0000,0.000000,0.000279,0.9767,0,1525
8951,1.5613,0.0000,0.000000,0.000279,0.9770,0,1533
9001,1.5173,0.0000,0.000000,0.000279,0.9753,0,1542
9051,1.4440,0.0000,0.000000,0.000278,0.9780,0,1551
9101,1.4882,0.0000,0.000000,0.000278,0.9786,0,1559
9151,1.4847,0.0000,0.000000,0.000278,0.9761,0,1568
9201,1.4820,0.0000,0.000000,0.000278,0.9779,0,1576
9251,1.4075,0.0000,0.000000,0.000277,0.9783,0,1585
9301,1.5339,0.0000,0.000000,0.000277,0.9766,0,1593
9351,1.4107,0.0000,0.000000,0.000277,0.9771,0,1602
9401,1.4676,0.0000,0.000000,0.000277,0.9789,0,1610
9451,1.4813,0.0000,0.000000,0.000276,0.9756,0,1619
